city,date,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors,temp_mean,temp_min,temp_max,rh_mean,wind_mean,wind_max,precip_sum,pressure_mean,n_hours
Manchester,2023-07-24,2.9050000000000002,2.9050000000000002,0.643467170879758,2,2,14.3,10.1,17.7,74,12.841666666666667,17.8,5.5,1007.6416666666667,24
Manchester,2023-07-25,4.359999999999999,4.359999999999999,0.268700576850888,2,2,13.154166666666667,8.4,17,75.5,11.4,20.3,0.4,1010.6041666666666,24
Manchester,2023-07-26,6.61,6.61,0.05656854249492385,2,2,14.358333333333334,8.5,20,81.20833333333333,11.5375,18.7,8.1,1008.975,24
Manchester,2023-07-27,4.175,4.175,0.48790367901871745,2,2,17,15.3,19.3,87.83333333333333,12.729166666666666,20,4.899999999999999,1000.9666666666667,24
Manchester,2023-07-28,3.9799999999999995,3.9799999999999995,0.523259018078045,2,2,17.2125,13.3,21.4,79.70833333333333,11.445833333333333,17.2,0.8999999999999999,1003.3708333333333,24
Manchester,2023-07-29,4.5649999999999995,4.5649999999999995,0.6151828996322964,2,2,16.183333333333334,13.6,19.4,74.41666666666667,17.3125,22.6,1.6000000000000005,1002.8958333333334,24
Manchester,2023-07-30,4.83,4.83,0,2,2,15.366666666666667,12.6,18.4,80.5,18.995833333333334,29,14.200000000000003,1005.9708333333333,24
Manchester,2023-07-31,3.455,3.455,0.03535533905932725,2,2,15.6625,14.1,16.7,90.25,15.9125,20.2,15.3,1000.6,24
Manchester,2023-08-01,4.83,4.83,0,2,2,14.666666666666666,13.1,17,85.41666666666667,14.925,22.4,2.5,998.9416666666667,24
Manchester,2023-08-02,4.045,4.045,0.48790367901871745,2,2,15.4,13.4,17.7,83,12.366666666666667,20.1,11.999999999999998,988.2,24
Manchester,2023-08-03,3.455,3.455,0.6434671708797584,2,2,15.3,11.4,18.7,79.95833333333333,12.241666666666667,18.8,1.1,1005.8166666666667,24
Manchester,2023-08-04,5.205,5.205,0.03535533905932788,2,2,14.820833333333333,12.3,17.2,78.58333333333333,11.333333333333334,17.6,2.1000000000000005,1016.9666666666667,24
Manchester,2023-08-05,6.85,6.85,0.028284271247461926,2,2,12.525,9.7,14.8,85.95833333333333,10.383333333333333,16.7,13.2,1010,24
Manchester,2023-08-06,5.199999999999999,5.199999999999999,0.09899494936611643,2,2,13.108333333333334,8.8,16.9,81.29166666666667,11.066666666666666,19,0.7000000000000001,1017.2291666666666,24
Manchester,2023-08-07,4,4,0,2,2,13.979166666666666,10,17.4,76.04166666666667,12.620833333333334,21.1,0.6,1018.5333333333333,24
Manchester,2023-08-08,3.84,3.84,0.2262741699796951,2,2,14.683333333333334,10.5,18.7,77.33333333333333,11.529166666666667,16.7,2.8000000000000003,1014.0708333333333,24
Manchester,2023-08-09,4.085,4.085,0.12020815280171303,2,2,16.120833333333334,9.6,21.2,81.54166666666667,7.525,14.1,0.30000000000000004,1017.0958333333333,24
Manchester,2023-08-10,5.09,5.09,0.1838477631085022,2,2,20.55,14.2,25.4,77.625,10.158333333333333,16.6,0.30000000000000004,1016.7625,24
Manchester,2023-08-11,6.915,6.915,0.06363961030678918,2,2,19.054166666666667,15.7,21.9,72.04166666666667,17.425,23.8,0.30000000000000004,1014.0083333333333,24
Manchester,2023-08-12,7.195,7.195,0.27577164466275333,2,2,17.0625,14.7,20.1,76.70833333333333,19.3125,26.8,7.3,1009.525,24
Manchester,2023-08-13,4.09,4.09,0.7353910524340098,2,2,16.404166666666665,14.2,19.1,75.95833333333333,16.129166666666666,22.2,1.4000000000000004,1010.0666666666667,24
Manchester,2023-08-14,4.045,4.045,0.12020815280171303,2,2,16.591666666666665,14.6,20.5,87.95833333333333,16.229166666666668,24.7,30.6,1006.6458333333334,24
Manchester,2023-08-15,4.655,4.655,0.06363961030678918,2,2,15.620833333333334,12.3,19,81.875,10.654166666666667,18.7,0.8999999999999999,1015.025,24
Manchester,2023-08-16,4.87,4.87,0.1838477631085022,2,2,16.3875,11.8,20.7,79.83333333333333,4.570833333333334,8.3,0.8,1021.575,24
Manchester,2023-08-17,8.785,8.785,0.24748737341529264,2,2,17.55,14,21.4,75.625,17.25,22.8,1.3,1020.8125,24
Manchester,2023-08-18,6.6899999999999995,6.6899999999999995,0.3252691193458118,2,2,17.191666666666666,14.5,20,81.875,22.9875,29.2,8.5,1013.175,24
Manchester,2023-08-24,6.75,6.75,NA,1,1,15.145833333333334,9.7,17.6,83.45833333333333,9.425,15.5,0.5,1012.4583333333334,24
Manchester,2023-08-25,5.404999999999999,5.404999999999999,0.5161879502661794,2,2,12.708333333333334,8.7,16.6,84.125,8.8,15,4.1,1008.625,24
Manchester,2023-08-26,5.2,5.2,0.8909545442950497,2,2,13.6625,11.3,17.1,81.45833333333333,8.8625,12.7,5.1,1007.1583333333333,24
Manchester,2023-08-27,6.65,6.65,0.4949747468305834,2,2,12.533333333333333,8.2,15.7,87.54166666666667,12.170833333333334,24.9,5.499999999999999,1010.1666666666666,24
Manchester,2023-08-28,5.324999999999999,5.324999999999999,0.14849242404917495,2,2,13.5,9.9,17,82.45833333333333,11.020833333333334,19.6,0.30000000000000004,1014.4416666666667,24
Manchester,2023-08-29,5.135,5.135,0.6151828996322964,2,2,14.220833333333333,11.6,16.7,81.29166666666667,10.975,17.9,2.4000000000000004,1010.6625,24
Manchester,2023-08-30,5.845,5.845,0.6434671708797584,2,2,13.35,9.6,17.2,77.875,12.170833333333334,19.2,2.2,1008.1125,24
Manchester,2023-08-31,5.975,5.975,0.0919238815542511,2,2,13.524999999999999,8.1,18,81,8.216666666666667,14.9,8.799999999999999,1008.55,24
Manchester,2023-09-01,6.41,6.41,0.3252691193458119,2,2,16.079166666666666,12.6,20,82,6.845833333333333,12.9,1.4000000000000001,1011.4375,24
Manchester,2023-09-02,7.585,7.585,1.294005409571382,2,2,17.279166666666665,13.3,21.7,79.20833333333333,5.8625,10.2,0,1022.05,24
Manchester,2023-09-04,9.14,9.14,0.09899494936611705,2,2,18.770833333333332,11.7,25.9,78.58333333333333,5.579166666666667,10,0,1023.0958333333333,24
Manchester,2023-09-05,11.4,11.4,0.7071067811865476,2,2,19.016666666666666,14.6,24.5,70.75,11.920833333333334,19,0,1018.95,24
Manchester,2023-09-06,13.45,13.45,0.636396103067893,2,2,19.633333333333333,14.8,25.4,82.29166666666667,5.129166666666666,13.3,0,1019.2291666666666,24
Manchester,2023-09-07,18.85,18.85,2.1920310216782957,2,2,21.208333333333332,17,26.7,79.25,7.2,10.3,0.9,1017.9375,24
Manchester,2023-09-08,22.9,22.9,3.3941125496954285,2,2,20.445833333333333,14.2,26,81.79166666666667,4.420833333333333,9.2,0,1016.2041666666667,24
Manchester,2023-09-09,29.25,29.25,3.6062445840513933,2,2,20.716666666666665,16.8,25.9,87.45833333333333,4.129166666666666,7.8,0,1015.9125,24
Manchester,2023-09-10,17.049999999999997,17.049999999999997,0.9192388155425123,2,2,20.020833333333332,16.4,25.3,87.875,5.091666666666667,12.4,8.100000000000001,1014.325,24
Manchester,2023-09-11,14.85,14.85,1.2020815280171302,2,2,18.0125,16.4,20.6,87.5,9.629166666666666,17.4,4.8,1011.4208333333333,24
Manchester,2023-09-12,5.095000000000001,5.095000000000001,0.2050609665440988,2,2,14.816666666666666,11.5,16.3,84.875,12.916666666666668,19.1,15.999999999999998,1015.475,24
Manchester,2023-09-13,4.609999999999999,4.609999999999999,0.9333809511662423,2,2,13.35,8,17.2,72.16666666666667,9.983333333333333,16.2,0.1,1021.8875,24
Manchester,2023-09-14,6.545,6.545,0.1343502884254437,2,2,15.608333333333334,13.3,18.6,81.29166666666667,9.466666666666667,17.4,6.600000000000001,1018.4708333333333,24
Manchester,2023-09-15,6.475,6.475,0.5444722215136419,2,2,16.779166666666665,13.4,20.1,82.83333333333333,7.733333333333333,11.9,0.7,1014.3375,24
Manchester,2023-09-16,11.100000000000001,11.100000000000001,0.2828427124746193,2,2,15.258333333333333,13.4,17.7,83.79166666666667,19.075,23.6,0,1015.7458333333333,24
Manchester,2023-09-17,7.15,7.15,1.2020815280171309,2,2,16.604166666666668,14.5,20,81.95833333333333,15.7125,21.2,10.2,1011.2,24
Manchester,2023-09-18,11.2,11.2,0.4242640687119283,2,2,13.8375,10.4,16.3,86.04166666666667,16.391666666666666,26,10.399999999999997,999.55,24
Manchester,2023-09-19,5.24,5.24,0.1838477631085022,2,2,15.2375,11.2,18.2,83.45833333333333,25.90416666666667,34.1,18.300000000000004,997.6291666666667,24
Manchester,2023-09-20,3.91,3.91,0.38183766184073537,2,2,15.541666666666666,10.7,17.2,81.58333333333333,23.991666666666667,34.8,12.099999999999998,991.5375,24
